team_name,player_name,starting_position,xT_value,minutes_played
Sport Recife,Sérgio Oliveira,MC,0.3805617831145516,664
Vitoria,Ricardo Ryller,MC,0.3799497739394554,935
Atletico MG,Alan Franco,MC,0.37848332408425245,1440
Corinthians,Maycon,DMC,0.3775111577180601,688
Corinthians,Cacá,DC,0.3704642076220008,1291
Red Bull Bragantino,Vinicinho,AML,0.36977395120246315,1023
Palmeiras,Weverton,GK,0.3679624739741648,1813
Cruzeiro,Kaio Jorge,FW,0.36733560060220427,1764
Mirassol,Clayson,AML,0.3658657294059338,293
Internacional,Vitinho,AMR,0.3656897749031284,552
Sao Paulo,Marcos Antônio,AMC,0.3610564596447446,1240
Cruzeiro,Marquinhos,Sub,0.359206375233813,425
Fluminense,Nonato,Sub,0.35003784085299666,586
Ceara,Éder,Sub,0.346641587812166,207
Gremio,Walter Kannemann,Sub,0.3403764705685846,995
Sao Paulo,Igor Vinícius,MR,0.331958366473512,451
Sport Recife,João Silva,DC,0.33189843927195495,824
Flamengo,Ayrton Lucas,Sub,0.3300581644910716,380
Atletico MG,Rubens,Sub,0.3271313216589431,1165
Red Bull Bragantino,Ignacio Laquintana,AMR,0.3270087539668436,598
Juventude,Marcos Paulo,Sub,0.32579428863758264,876
Santos FC,Igor Vinícius,MR,0.32489911014864153,451
Palmeiras,Lucas Evangelista,DMC,0.317903467642468,955
Gremio,Dodi,Sub,0.317274072147931,1388
Gremio,Igor Serrote,DR,0.31622311629614747,555
Sport Recife,Rafael Thyere,DC,0.3154762266056347,804
Atletico MG,Igor Gomes,Sub,0.31450988249259737,776
Botafogo RJ,John,GK,0.3121115833192186,1706
Fortaleza,Lucas Sasha,MC,0.31186268765703185,1477
Gremio,Edenílson,AMC,0.31181773741030844,855
Corinthians,Félix Torres,Sub,0.3078262048460569,642
Internacional,Juninho,DC,0.30514296922335804,800
Ceara,Fernandinho,AML,0.302516673742642,301
Red Bull Bragantino,Isidro Pitta,Sub,0.3019289257182354,804
Atletico MG,Fausto Vera,Sub,0.30178440170841575,640
Juventude,Caíque,Sub,0.3016595114968065,1044
Fortaleza,Zé Welison,Sub,0.30073076507987584,500
Internacional,Gustavo Prado,Sub,0.2985143691904284,492
Fortaleza,Allanzinho,Sub,0.29835660822830395,254
Mirassol,Iury Castilho,FW,0.29727438152214236,558
Flamengo,Agustín Rossi,GK,0.2954047119754159,1955
Palmeiras,José López,Sub,0.2936826696222356,999
Gremio,Miguel Monsalve,Sub,0.2925777550922711,339
Gremio,Gustavo Martins,Sub,0.2898550697836693,540
Ceara,Guilherme Luiz,Sub,0.2897111408777268,180
Red Bull Bragantino,Fabinho,Sub,0.28931284920702854,789
Juventude,Felipinho,Sub,0.2887057275213611,346
Vitoria,Lucas Arcanjo,Sub,0.28691543498531424,1997
Flamengo,Everton,Sub,0.28689908815688536,653
Corinthians,Yuri Alberto,FW,0.28521768588105706,1017
Vitoria,Edu,Sub,0.28218843148396516,687
Sport Recife,Zé Lucas,Sub,0.282046944318245,1130
Ceara,Matheus Araújo,Sub,0.28101967631283226,343
Fluminense,Lucho Acosta,Sub,0.2809726324907881,88
Bahia,Nicolás Acevedo,Sub,0.28091248551269365,571
Fortaleza,Diogo Barbosa,DL,0.27771497515266236,735
Flamengo,Erick Pulgar,DMC,0.27579416882511565,701
Vasco da Gama,Victor Luís,Sub,0.2756534593095995,152
Vitoria,Lucas Braga,Sub,0.2706893628435391,915
Ceara,Bruno Ferreira,GK,0.2648861193052008,1373
